,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
1,URXVOL1,The volume of urine collection #1 (mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
2,URDFLOW1,Urine #1 Flow Rate (mL/min),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
3,URDTIME1,The time between last urination and the first urine sample collection in minutes,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
4,URXVOL2,The volume of urine collection #2 (mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
5,URDFLOW2,Urine #2 Flow Rate (mL/min),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
6,URDTIME2,The time between the first and second urine sample collections in minutes,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
7,URXVOL3,The volume of urine collection #3 (mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
8,URDFLOW3,Urine #3 Flow Rate (mL/min),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
9,URDTIME3,The time between the second and third urine sample collections in minutes,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
