,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,LBXBCD,0.2 To 8.81,Range Of Values,,
2,LBXBCD,0.14,Below Detection Limit Fill Value,,
3,LBXBCD,.,Missing,,
4,LBDBCDSI,1.78 To 78.38,Range Of Values,,
5,LBDBCDSI,1.25,Below Detection Limit Fill Value,,
6,LBDBCDSI,.,Missing,,
7,LBXBPB,0.26 To 33.1,Range Of Values,,
8,LBXBPB,0.18,First Below Detection Limit Fill Value,,
9,LBXBPB,0.21,Second Below Detection Limit Fill Value,,
10,LBXBPB,.,Missing,,
11,LBDBPBSI,0.013 To 1.599,Range Of Values,,
12,LBDBPBSI,0.01,First Below Detection Limit Fill Value,,
13,LBDBPBSI,0.009,Second Below Detection Limit Fill Value,,
14,LBDBPBSI,.,Missing,,
15,LBXTHG,0.2 To 43.9,Range Of Values,,
16,LBXTHG,.,Missing,,
17,LBDTHGSI,1 To 219.1,Range Of Values,,
18,LBDTHGSI,.,Missing,,
19,LBDTHGLC,0,At Or Above The Detection Limit,,
20,LBDTHGLC,1,Below Lower Detection Limit,,
21,LBDTHGLC,.,Missing,,
