,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
1,WTSB2YR,Environmental B 2-year weights,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
2,URXCNP,Mono(carboxynonyl) Phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
3,URDCNPLC,Mono(carboxynonyl) phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
4,URXCOP,Mono(carboxyoctyl) Phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
5,URDCOPLC,Mono(carboxyoctyl) phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
6,URXECP,Mono-2-ethyl-5-carboxypentyl phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
7,URDECPLC,Mono-2-ethyl-5-carboxypentyl phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
8,URXHIBP,Mono-2-hydroxy-iso-butyl phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
9,URDHIBLC,Mono-2-hydroxy-iso-butyl phthalate Comment Code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
10,URXMBP,Mono-n-butyl phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
11,URDMBPLC,Mono-n-butyl phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
12,URXMC1,Mono-(3-carboxypropyl) phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
13,URDMC1LC,Mono-(3-carboxypropyl) phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
14,URXMCOH,Cyclohexane-12-dicarboxylic acid-mono(carboxyoctyl) ester  phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
15,URDMCOLC,Cyclohexane-12-dicarboxylic acid-mono(carboxyoctyl) ester  phthalate Comment Code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
16,URXMEP,Mono-ethyl phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
17,URDMEPLC,Mono-ethyl phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
18,URXMHBP,Mono-3-hydroxy-n-butyl phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
19,URDMHBLC,Mono-3-hydroxy-n-butyl phthalate Comment Code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
20,URXMHH,Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
21,URDMHHLC,Mono-(2-ethyl-5-hydroxyhexyl) phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
22,URXMHNC,Cyclohexane 12-dicarboxylic acid monohydroxy isononyl ester  (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
23,URDMCHLC,Cyclohexane 12-dicarboxylic acid monohydroxy isononyl ester  comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
24,URXMHP,Mono-(2-ethyl)-hexyl phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
25,URDMHPLC,Mono-(2-ethyl)-hexyl phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
26,URXMIB,Mono-isobutyl phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
27,URDMIBLC,Mono-isobutyl phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
28,URXMNP,Mono-isononyl phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
29,URDMNPLC,Mono-isononyl phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
30,URXMOH,Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
31,URDMOHLC,Mono-(2-ethyl-5-oxohexyl) phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
32,URXMZP,Mono-benzyl phthalate (ng/mL),Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
33,URDMZPLC,Mono-benzyl phthalate comment code,Both males and females 3 YEARS - 150 YEARS,,,,,,,,,,,,,
