,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,LBDBFOAL,Branch perfluorooctanoic acid isomers Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
1,LBDMFOSL,Perfluoromethylheptane sulfonic acid isomers (Sm-PFOS) Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
2,LBDMPAHL,2-(N-methylperfluoroctanesulfonamido)acetic acid (Me-PFOSA-AcOH) Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
3,LBDNFOAL,n-perfluorooctanoic acid (n-PFOA) Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
4,LBDNFOSL,n-perfluorooctane sulfonic acid (n-PFOS) Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
5,LBDPFDEL,Perfluorodecanoic acid (PFDeA) Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
6,LBDPFHSL,Perfluorohexane sulfonic acid (PFHxS) Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
7,LBDPFNAL,Perfluorononanoic acid (PFNA) Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
8,LBDPFUAL,Perfluoroundecanoic acid (PFUA) Comment Code,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
9,LBXBFOA,Branch perfluorooctanoic acid isomers (Sb-PFOA) (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
10,LBXMFOS,Perfluoromethylheptane sulfonic acid isomers (Sm-PFOS) (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
11,LBXMPAH,2-(N-methylperfluoroctanesulfonamido)acetic acid (Me-PFOSA-AcOH) (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
12,LBXNFOA,n-perfluorooctanoic acid (n-PFOA) (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
13,LBXNFOS,n-perfluorooctane sulfonic acid (n-PFOS) (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
14,LBXPFDE,Perfluorodecanoic acid (PFDeA) (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
15,LBXPFHS,Perfluorohexane sulfonic acid (PFHxS) (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
16,LBXPFNA,Perfluorononanoic acid (PFNA) (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
17,LBXPFUA,Perfluoroundecanoic acid (PFUA) (ng/mL),Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
18,SEQN,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
19,WTSBAPRP,Subsample BA Weights Pre-Pandemic,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
