"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DS2TOT_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DS2TOT_G","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1852.3028731 to 443805.73786"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8519"", ""819""]; Cumulative=[""8519"", ""9338""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_G","WTDR2D","WTDR2D","Dietary two-day sample weight","Dietary two-day sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1531.3308619 to 499271.52935"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7605"", ""1733""]; Cumulative=[""7605"", ""9338""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_G","DR2DRSTZ","DR2DRSTZ","Dietary recall status","Dietary recall status","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", "".""]; Value.Description=[""Reliable and met the minimum criteria"", ""Not reliable or not met the minimum criteria"", ""Reported consuming breast-milk"", ""Not done"", ""Missing""]; Count=[""7496"", ""56"", ""109"", ""1677"", ""0""]; Cumulative=[""7496"", ""7552"", ""7661"", ""9338"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS2TOT_G","DR2EXMER","DR2EXMER","Interviewer ID code","Interviewer ID code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""32 to 92"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7661"", ""1677""]; Cumulative=[""7661"", ""9338""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_G","DRDINT","DRDINT","Number of days of intake","Indicates whether the sample person has intake data for one or two days.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Day 1 only"", ""Day 1 and day 2"", ""Missing""]; Count=[""914"", ""7605"", ""819""]; Cumulative=[""914"", ""8519"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DS2TOT_G","DR2DBIH","DR2DBIH","# of days b/w intake and HH interview","# of days b/w intake and HH interview","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""-38 to 178"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7638"", ""1700""]; Cumulative=[""7638"", ""9338""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_G","DR2DAY","DR2DAY","Intake day of the week","Intake day of the week","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Missing""]; Count=[""1257"", ""1556"", ""1455"", ""1771"", ""726"", ""716"", ""180"", ""1677""]; Cumulative=[""1257"", ""2813"", ""4268"", ""6039"", ""6765"", ""7481"", ""7661"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS2TOT_G","DR2LANG","DR2LANG","Language respondent used mostly","The respondent spoke mostly:","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""5 to 6"", ""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Range of Values"", ""English"", ""Spanish"", ""English and Spanish"", ""Other"", ""Missing""]; Count=[""98"", ""6813"", ""769"", ""75"", ""2"", ""1581""]; Cumulative=[""98"", ""6911"", ""7680"", ""7755"", ""7757"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS2TOT_G","DR2MNRSP","DR2MNRSP","Main respondent for this interview","Who was the main respondent for this interview?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""5436"", ""1807"", ""182"", ""30"", ""6"", ""35"", ""10"", ""42"", ""5"", ""1"", ""10"", ""40"", ""0"", ""0"", ""0"", ""1734""]; Cumulative=[""5436"", ""7243"", ""7425"", ""7455"", ""7461"", ""7496"", ""7506"", ""7548"", ""7553"", ""7554"", ""7564"", ""7604"", ""7604"", ""7604"", ""7604"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS2TOT_G","DR2HELPD","DR2HELPD","Helped in responding for this interview","Who helped in responding for this interview","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""No one"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""270"", ""198"", ""32"", ""83"", ""17"", ""7"", ""2"", ""5"", ""3"", ""4"", ""6"", ""24"", ""6935"", ""0"", ""0"", ""2"", ""1750""]; Cumulative=[""270"", ""468"", ""500"", ""583"", ""600"", ""607"", ""609"", ""614"", ""617"", ""621"", ""627"", ""651"", ""7586"", ""7586"", ""7586"", ""7588"", ""9338""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
