"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DS2TOT_E","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DS2TOT_E","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1774.4576942 to 330066.87932"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""9255"", ""507""]; Cumulative=[""9255"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_E","WTDR2D","WTDR2D","Dietary two-day sample weight","Dietary two-day sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1513.0983763 to 419692.00229"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7838"", ""1924""]; Cumulative=[""7838"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_E","DR2DRSTZ","DR2DRSTZ","Dietary recall status","Dietary recall status","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""4"", ""5"", "".""]; Value.Description=[""Reliable and met the minimum criteria"", ""Not reliable or not met the minimum criteria"", ""Reported consuming breast-milk"", ""Not done"", ""Missing""]; Count=[""7715"", ""82"", ""123"", ""1842"", ""0""]; Cumulative=[""7715"", ""7797"", ""7920"", ""9762"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS2TOT_E","DR2EXMER","DR2EXMER","Interviewer ID code","Interviewer ID code","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""11 to 95"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7920"", ""1842""]; Cumulative=[""7920"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_E","DRDINT","DRDINT","Number of days of intake","Indicates whether the sample person has intake data for one or two days.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Day 1 only"", ""Day 1 and day 2"", ""Missing""]; Count=[""1417"", ""7838"", ""507""]; Cumulative=[""1417"", ""9255"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DS2TOT_E","DR2DAY","DR2DAY","Intake day of the week","Intake day of the week","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Missing""]; Count=[""1481"", ""1791"", ""1567"", ""1691"", ""685"", ""537"", ""168"", ""1842""]; Cumulative=[""1481"", ""3272"", ""4839"", ""6530"", ""7215"", ""7752"", ""7920"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS2TOT_E","DR2LANG","DR2LANG","Language respondent used mostly","The respondent spoke mostly:","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""English"", ""Spanish"", ""English and Spanish"", ""Other"", ""Missing""]; Count=[""6894"", ""1074"", ""64"", ""0"", ""1730""]; Cumulative=[""6894"", ""7968"", ""8032"", ""8032"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS2TOT_E","DR2MNRSP","DR2MNRSP","Main respondent for this interview","Who was the main respondent for this interview?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""5672"", ""1820"", ""130"", ""65"", ""5"", ""42"", ""7"", ""58"", ""3"", ""0"", ""8"", ""28"", ""0"", ""0"", ""0"", ""1924""]; Cumulative=[""5672"", ""7492"", ""7622"", ""7687"", ""7692"", ""7734"", ""7741"", ""7799"", ""7802"", ""7802"", ""7810"", ""7838"", ""7838"", ""7838"", ""7838"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS2TOT_E","DR2HELPD","DR2HELPD","Helped in responding for this interview","Who helped in responding for this interview","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""77"", ""99"", "".""]; Value.Description=[""SP"", ""Mother of SP"", ""Father of SP"", ""Wife of SP"", ""Husband of SP"", ""Daughter of SP"", ""Son of SP"", ""Grandparent of SP"", ""Friend, Partner, Non Relative"", ""Translator, not a HH member"", ""Child care provider, Caretaker"", ""Other Relative"", ""No one"", ""Other specify"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""361"", ""182"", ""60"", ""145"", ""16"", ""17"", ""3"", ""15"", ""9"", ""0"", ""4"", ""34"", ""6985"", ""0"", ""0"", ""1"", ""1930""]; Cumulative=[""361"", ""543"", ""603"", ""748"", ""764"", ""781"", ""784"", ""799"", ""808"", ""808"", ""812"", ""846"", ""7831"", ""7831"", ""7831"", ""7832"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS2TOT_E","DS2DS","DS2DS","Any Dietary Supplements taken?","Any Dietary Supplements taken in the past 24 hour?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2570"", ""5265"", ""0"", ""0"", ""1927""]; Cumulative=[""2570"", ""7835"", ""7835"", ""7835"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS2TOT_E","DS2DSCNT","DS2DSCNT","Number of dietary supplements reported","Number of dietary supplements reported","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 23"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7838"", ""1924""]; Cumulative=[""7838"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_E","DS2AN","DS2AN","Any Antacids Taken?","Any Antacids Taken?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""191"", ""7641"", ""0"", ""0"", ""1930""]; Cumulative=[""191"", ""7832"", ""7832"", ""7832"", ""9762""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DS2TOT_E","DS2ANCNT","DS2ANCNT","Number of Antacids Reported","Number of Antacids Reported","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7838"", ""1924""]; Cumulative=[""7838"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_E","DS2TKCAL","DS2TKCAL","Energy (kcal)","Energy (kcal)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 379.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""906"", ""8856""]; Cumulative=[""906"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_E","DS2TPROT","DS2TPROT","Protein (gm)","Protein (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 53.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""196"", ""9566""]; Cumulative=[""196"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_E","DS2TCARB","DS2TCARB","Carbohydrate (gm)","Carbohydrate (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 84"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""742"", ""9020""]; Cumulative=[""742"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_E","DS2TSUGR","DS2TSUGR","Total sugars (gm)","Total sugars (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 36"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""419"", ""9343""]; Cumulative=[""419"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
"DS2TOT_E","DS2TFIBE","DS2TFIBE","Dietary fiber (gm)","Dietary fiber (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 36"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""163"", ""9599""]; Cumulative=[""163"", ""9762""]; Skip.to.Item=[""NA"", ""NA""]"
