,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,['Respondent sequence number'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
1,LEDSCCT1,0,None,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
2,LEDSCCT1,2,Sp Refusal,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
3,LEDSCCT1,3,No Time,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
4,LEDSCCT1,4,Physical Limitation,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
5,LEDSCCT1,5,Communication Problem,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
6,LEDSCCT1,7,Sp Ill/Emergency,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
7,LEDSCCT1,43,Weight Limitation On Equipment,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
8,LEDSCCT1,56,Came Late/Left Early,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
9,LEDSCCT1,72,Error (Technician/Software/Supply),['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
10,LEDSCCT1,84,Sp With Child,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
11,LEDSCCT1,101,"Bandage, Stocking, Or Other Obstruction",['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
12,LEDSCCT1,102,Feet Extremely Calloused,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
13,LEDSCCT1,103,As Per Doctor'S Request,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
14,LEDSCCT1,999,"Other, Specify",['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
15,LEDSCCT1,.,Missing,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
16,LEDSCCT1,6,Equipment Failure,['PN section comment'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
17,LEALAMP,1,None,['Left amputation'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
18,LEALAMP,2,Entire Foot,['Left amputation'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
19,LEALAMP,3,Partial Foot,['Left amputation'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
20,LEALAMP,4,Great Toe,['Left amputation'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
21,LEALAMP,5,Other Toe(S),['Left amputation'],['Both males and females 40 YEARS - 150 YEARS'],[nan],,
