,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,OHAEXSTS,,,,,,,,,,
2,OHDDEST,,,,,,,,,,
3,OHDFCST,,,,,,,,,,
4,OHXMAXIN,,,,,,,,,,
5,OHXFCRZ1,,,,,,,,,,
6,OHXFCRZ2,,,,,,,,,,
7,OHXFCRZ3,,,,,,,,,,
8,OHXFCRZ4,,,,,,,,,,
9,OHXFCRZ5,,,,,,,,,,
10,OHXFCRZ6,,,,,,,,,,
11,OHXFCRZ7,,,,,,,,,,
12,OHXFCRZ8,,,,,,,,,,
13,OHXFCLZ1,,,,,,,,,,
14,OHXFCLZ2,,,,,,,,,,
15,OHXFCLZ3,,,,,,,,,,
16,OHXFCLZ4,,,,,,,,,,
17,OHXFCLZ5,,,,,,,,,,
18,OHXFCLZ6,,,,,,,,,,
19,OHXFCLZ7,,,,,,,,,,
20,OHXFCLZ8,,,,,,,,,,
21,OHXFCANT,,,,,,,,,,
22,OHX08ESL,,,,,,,,,,
23,OHX08ESF,,,,,,,,,,
24,OHX08ESI,,,,,,,,,,
25,OHX07ESL,,,,,,,,,,
26,OHX07ESF,,,,,,,,,,
27,OHX07ESI,,,,,,,,,,
28,OHX06ESL,,,,,,,,,,
29,OHX06ESF,,,,,,,,,,
30,OHX06ESI,,,,,,,,,,
31,OHX03ESO,,,,,,,,,,
32,OHX09ESL,,,,,,,,,,
33,OHX09ESF,,,,,,,,,,
34,OHX09ESI,,,,,,,,,,
35,OHX10ESL,,,,,,,,,,
36,OHX10ESF,,,,,,,,,,
37,OHX10ESI,,,,,,,,,,
38,OHX11ESL,,,,,,,,,,
39,OHX11ESF,,,,,,,,,,
40,OHX11ESI,,,,,,,,,,
41,OHX14ESO,,,,,,,,,,
42,OHX25ESL,,,,,,,,,,
43,OHX25ESF,,,,,,,,,,
44,OHX25ESI,,,,,,,,,,
45,OHX26ESL,,,,,,,,,,
46,OHX26ESF,,,,,,,,,,
47,OHX26ESI,,,,,,,,,,
48,OHX27ESL,,,,,,,,,,
49,OHX27ESF,,,,,,,,,,
50,OHX27ESI,,,,,,,,,,
