"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"HUQ_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"HUQ_G","HUQ010","HUQ010","General health condition","{First/Next} I have some general questions about {your/SPs} health. Would you say {your/SPs} health in general is . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Excellent,"", ""Very good,"", ""Good,"", ""Fair, or"", ""Poor?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2530"", ""2551"", ""3121"", ""1277"", ""275"", ""1"", ""1"", ""0""]; Cumulative=[""2530"", ""5081"", ""8202"", ""9479"", ""9754"", ""9755"", ""9756"", ""9756""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HUQ_G","HUQ015","HUQ015",NA,NA,"Both males and females 0 YEARS - 150 YEARS",NA,NA
"HUQ_G","HUQ020","HUQ020","Health now compared with 1 year ago","Compared with 12 months ago would you say {your/SPs} health is now . . .","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Better,"", ""Worse, or"", ""About the same?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1793"", ""794"", ""6773"", ""1"", ""2"", ""393""]; Cumulative=[""1793"", ""2587"", ""9360"", ""9361"", ""9363"", ""9756""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HUQ_G","HUQ030","HUQ030","Routine place to go for healthcare","Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""There is no place"", ""There is more than one place"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""8634"", ""1074"", ""48"", ""0"", ""0"", ""0""]; Cumulative=[""8634"", ""9708"", ""9756"", ""9756"", ""9756"", ""9756""]; Skip.to.Item=["""", ""HUQ050"", """", ""HUQ050"", ""HUQ050"", """"]"
"HUQ_G","HUQ040","HUQ040","Type place most often go for healthcare","What kind of place {do you/does SP} go to most often: is it a clinic doctors office emergency room or some other place?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Clinic or health center"", ""Doctor's office or HMO"", ""Hospital emergency room"", ""Hospital outpatient department"", ""Some other place"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2147"", ""6035"", ""260"", ""152"", ""87"", ""1"", ""0"", ""1074""]; Cumulative=[""2147"", ""8182"", ""8442"", ""8594"", ""8681"", ""8682"", ""8682"", ""9756""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HUQ_G","HUQ050","HUQ050","#times receive healthcare over past year","{During the past 12 months how/How} many times {have you/has SP} seen a doctor or other health care professional about {your/his/her} health at a doctors office a clinic hospital emergency room at home or some other place? Do not include times {you were/s/he was} hospitalized overnight.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""77"", ""99"", "".""]; Value.Description=[""None"", ""1"", ""2 to 3"", ""4 to 9"", ""10 to 12"", ""13 or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1297"", ""2017"", ""2969"", ""2397"", ""529"", ""537"", ""1"", ""9"", ""0""]; Cumulative=[""1297"", ""3314"", ""6283"", ""8680"", ""9209"", ""9746"", ""9747"", ""9756"", ""9756""]; Skip.to.Item=["""", ""HUQ071"", ""HUQ071"", ""HUQ071"", ""HUQ071"", ""HUQ071"", ""HUQ071"", ""HUQ071"", """"]"
"HUQ_G","HUQ060","HUQ060","How long since last healthcare visit","About how long has it been since {you/SP} last saw or talked to a doctor or other health care professional about {your/his/her} health? Include doctors seen while {you were} {he/she was} a patient in a hospital. Has it been . . .","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""6 months or less,"", ""More than 6 months, but not more than 1 year ago,"", ""More than 1 year, but not more than 3 years ago,"", ""More than 3 years, or"", ""Never?"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""76"", ""86"", ""737"", ""353"", ""36"", ""0"", ""9"", ""8459""]; Cumulative=[""76"", ""162"", ""899"", ""1252"", ""1288"", ""1288"", ""1297"", ""9756""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HUQ_G","HUQ071","HUQ071","Overnite hospital patient in last year","{During the past 12 months were you/{Was/was} SP} a patient in a hospital overnight? Do not include an overnight stay in the emergency room.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""949"", ""8805"", ""1"", ""1"", ""0""]; Cumulative=[""949"", ""9754"", ""9755"", ""9756"", ""9756""]; Skip.to.Item=["""", ""HUQ085"", ""HUQ085"", ""HUQ085"", """"]"
"HUQ_G","HUD080","HUD080","#times overnite hospital patient/last yr","How many different times did {you/SP} stay in any hospital overnight or longer {during the past 12 months}? (Do not count total number of nights just total number of hospital admissions for stays which lasted 1 or more nights.)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 5"", ""6"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""6 times or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""932"", ""17"", ""0"", ""0"", ""8807""]; Cumulative=[""932"", ""949"", ""949"", ""949"", ""9756""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"HUQ_G","HUQ085","HUQ085",NA,NA,"Both males and females 0 YEARS - 150 YEARS",NA,NA
"HUQ_G","HUQ090","HUQ090","Seen mental health professional/past yr","During the past 12 months that is since {DISPLAY CURRENT MONTH} of {DISPLAY LAST YEAR} {have you/has SP} seen or talked to a mental health professional such as a psychologist psychiatrist psychiatric nurse or clinical social worker about {your/his/her} health?","Both males and females 4 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""663"", ""7921"", ""2"", ""1"", ""1169""]; Cumulative=[""663"", ""8584"", ""8586"", ""8587"", ""9756""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
