,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,HUQ010,1,"Excellent,",,
2,HUQ010,2,"Very Good,",,
3,HUQ010,3,"Good,",,
4,HUQ010,4,"Fair, Or",,
5,HUQ010,5,Poor?,,
6,HUQ010,7,Refused,,
7,HUQ010,9,Don'T Know,,
8,HUQ010,.,Missing,,
9,HUQ020,1,"Better,",,
10,HUQ020,2,"Worse, Or",,
11,HUQ020,3,About The Same?,,
12,HUQ020,7,Refused,,
13,HUQ020,9,Don'T Know,,
14,HUQ020,.,Missing,,
15,HUQ030,1,Yes,,
16,HUQ030,2,There Is No Place,,
17,HUQ030,3,There Is More Than One Place,,
18,HUQ030,7,Refused,,
19,HUQ030,9,Don'T Know,,
20,HUQ030,.,Missing,,
21,HUQ040,1,Clinic Or Health Center,,
22,HUQ040,2,Doctor'S Office Or Hmo,,
23,HUQ040,3,Hospital Emergency Room,,
24,HUQ040,4,Hospital Outpatient Department,,
25,HUQ040,5,Some Other Place,,
26,HUQ040,7,Refused,,
27,HUQ040,9,Don'T Know,,
28,HUQ040,.,Missing,,
29,HUQ050,0,None,,
30,HUQ050,1,1,,
31,HUQ050,2,2 To 3,,
32,HUQ050,3,4 To 9,,
33,HUQ050,4,10 To 12,,
34,HUQ050,5,13 Or More,,
35,HUQ050,77,Refused,,
36,HUQ050,99,Don'T Know,,
37,HUQ050,.,Missing,,
38,HUQ060,1,"6 Months Or Less,",,
39,HUQ060,2,"More Than 6 Months, But Not More Than 1 Year Ago,",,
40,HUQ060,3,"More Than 1 Year, But Not More Than 3 Years Ago,",,
41,HUQ060,4,"More Than 3 Years, Or",,
42,HUQ060,5,Never?,,
43,HUQ060,7,Refused,,
44,HUQ060,9,Don'T Know,,
45,HUQ060,.,Missing,,
46,HUD070,1,Yes,,
47,HUD070,2,No,,
48,HUD070,7,Refused,,
49,HUD070,9,Don'T Know,,
50,HUD070,.,Missing,,
51,HUQ080,1 To 12,Range Of Values,,
52,HUQ080,77777,Refused,,
53,HUQ080,99999,Don'T Know,,
54,HUQ080,.,Missing,,
55,HUQ081,,,,
56,HUQ082,1,Yes,,
57,HUQ082,2,No,,
58,HUQ082,7,Refused,,
59,HUQ082,9,Don'T Know,,
60,HUQ082,.,Missing,,
61,HUQ084,0 To 365,Range Of Values,,
62,HUQ084,777,Refused,,
63,HUQ084,999,Don'T Know,,
64,HUQ084,.,Missing,,
65,HUQ086,1,Yes,,
66,HUQ086,2,No,,
67,HUQ086,7,Refused,,
68,HUQ086,9,Don'T Know,,
69,HUQ086,.,Missing,,
70,HUQ088a,1,Acute Care Facility,,
71,HUQ088a,7,Refused,,
72,HUQ088a,9,Don'T Know,,
73,HUQ088a,.,Missing,,
74,HUQ088b,2,Long Term Care Facility,,
75,HUQ088b,.,Missing,,
76,HUQ088c,3,Rehabilitation Facility,,
77,HUQ088c,.,Missing,,
78,HUQ089,,,,
79,HUQ090,1,Yes,,
80,HUQ090,2,No,,
81,HUQ090,7,Refused,,
82,HUQ090,9,Don'T Know,,
83,HUQ090,.,Missing,,
