,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 0 YEARS - 150 YEARS,nan,,
1,DBQ010,1,Yes,Now Im going to ask you some general questions about {SPs} eating habits. Was {SP} ever breastfed or fed breastmilk?,Both males and females 0 YEARS - 6 YEARS,nan,,
2,DBQ010,2,No,Now Im going to ask you some general questions about {SPs} eating habits. Was {SP} ever breastfed or fed breastmilk?,Both males and females 0 YEARS - 6 YEARS,nan,,
3,DBQ010,7,Refused,Now Im going to ask you some general questions about {SPs} eating habits. Was {SP} ever breastfed or fed breastmilk?,Both males and females 0 YEARS - 6 YEARS,nan,,
4,DBQ010,9,Don'T Know,Now Im going to ask you some general questions about {SPs} eating habits. Was {SP} ever breastfed or fed breastmilk?,Both males and females 0 YEARS - 6 YEARS,nan,,
5,DBQ010,.,Missing,Now Im going to ask you some general questions about {SPs} eating habits. Was {SP} ever breastfed or fed breastmilk?,Both males and females 0 YEARS - 6 YEARS,nan,,
6,DBD030,1 To 1095,Range Of Values,How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?,Both males and females 0 YEARS - 6 YEARS,nan,,
7,DBD030,0,Still Breastfeeding,How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?,Both males and females 0 YEARS - 6 YEARS,nan,,
8,DBD030,666666,More Than 1095 Days (3-Year) Old,How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?,Both males and females 0 YEARS - 6 YEARS,nan,,
9,DBD030,777777,Refused,How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?,Both males and females 0 YEARS - 6 YEARS,nan,,
10,DBD030,999999,Don'T Know,How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?,Both males and females 0 YEARS - 6 YEARS,nan,,
11,DBD030,.,Missing,How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?,Both males and females 0 YEARS - 6 YEARS,nan,,
12,DBD041,1 To 365,Range Of Values,How old was {SP} when {he/she} was first fed formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
13,DBD041,0,Never,How old was {SP} when {he/she} was first fed formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
14,DBD041,666666,More Than 365 Days (1-Year) Old,How old was {SP} when {he/she} was first fed formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
15,DBD041,777777,Refused,How old was {SP} when {he/she} was first fed formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
16,DBD041,999999,Don'T Know,How old was {SP} when {he/she} was first fed formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
17,DBD041,.,Missing,How old was {SP} when {he/she} was first fed formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
18,DBD050,1 To 1095,Range Of Values,How old was {SP} when {he/she} completely stopped drinking formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
19,DBD050,0,Still Drinking Formula,How old was {SP} when {he/she} completely stopped drinking formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
20,DBD050,666666,More Than 1095 Days (3-Year) Old,How old was {SP} when {he/she} completely stopped drinking formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
21,DBD050,777777,Refused,How old was {SP} when {he/she} completely stopped drinking formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
22,DBD050,999999,Don'T Know,How old was {SP} when {he/she} completely stopped drinking formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
23,DBD050,.,Missing,How old was {SP} when {he/she} completely stopped drinking formula?,Both males and females 0 YEARS - 6 YEARS,nan,,
24,DBD055,1 To 730,Range Of Values,This next question is about the first thing that {SP} was given other than breast milk or formula. Please include juice cows milk sugar water baby food or anything else that {SP} might have been given even water. How old was {SP} when {he/she} was first fed anything other than breast milk or formula? (Days),Both males and females 0 YEARS - 6 YEARS,nan,,
25,DBD055,0,Never,This next question is about the first thing that {SP} was given other than breast milk or formula. Please include juice cows milk sugar water baby food or anything else that {SP} might have been given even water. How old was {SP} when {he/she} was first fed anything other than breast milk or formula? (Days),Both males and females 0 YEARS - 6 YEARS,nan,,
26,DBD055,666666,More Than 730 Days (2-Year) Old,This next question is about the first thing that {SP} was given other than breast milk or formula. Please include juice cows milk sugar water baby food or anything else that {SP} might have been given even water. How old was {SP} when {he/she} was first fed anything other than breast milk or formula? (Days),Both males and females 0 YEARS - 6 YEARS,nan,,
27,DBD055,777777,Refused,This next question is about the first thing that {SP} was given other than breast milk or formula. Please include juice cows milk sugar water baby food or anything else that {SP} might have been given even water. How old was {SP} when {he/she} was first fed anything other than breast milk or formula? (Days),Both males and females 0 YEARS - 6 YEARS,nan,,
28,DBD055,999999,Don'T Know,This next question is about the first thing that {SP} was given other than breast milk or formula. Please include juice cows milk sugar water baby food or anything else that {SP} might have been given even water. How old was {SP} when {he/she} was first fed anything other than breast milk or formula? (Days),Both males and females 0 YEARS - 6 YEARS,nan,,
29,DBD055,.,Missing,This next question is about the first thing that {SP} was given other than breast milk or formula. Please include juice cows milk sugar water baby food or anything else that {SP} might have been given even water. How old was {SP} when {he/she} was first fed anything other than breast milk or formula? (Days),Both males and females 0 YEARS - 6 YEARS,nan,,
30,DBD061,666666,More Than 1095 Days (3-Year) Old,How old was {SP} when {he/she} was first fed milk?,Both males and females 0 YEARS - 6 YEARS,nan,,
31,DBD061,777777,Refused,How old was {SP} when {he/she} was first fed milk?,Both males and females 0 YEARS - 6 YEARS,nan,,
32,DBD061,999999,Don'T Know,How old was {SP} when {he/she} was first fed milk?,Both males and females 0 YEARS - 6 YEARS,nan,,
33,DBD061,.,Missing,How old was {SP} when {he/she} was first fed milk?,Both males and females 0 YEARS - 6 YEARS,nan,,
34,DBD061,1 To 1095,Range Of Values,How old was {SP} when {he/she} was first fed milk?,Both males and females 0 YEARS - 6 YEARS,nan,,
35,DBD061,0,Never,How old was {SP} when {he/she} was first fed milk?,Both males and females 0 YEARS - 6 YEARS,nan,,
36,DBQ073A,10,Whole Or Regular Milk,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
37,DBQ073A,77,Refused,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
38,DBQ073A,99,Don'T Know,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
39,DBQ073A,.,Missing,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
40,DBQ073B,11,2% Fat Or Reduced-Fat Milk,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
41,DBQ073B,.,Missing,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
42,DBQ073C,12,"1% Fat Or Low-Fat Milk (Includes 0.5% Fat Milk Or Low-Fat Milk Not Further Specified),",What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
43,DBQ073C,.,Missing,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
44,DBQ073D,13,"Fat-Free, Skim Or Nonfat Milk, Or",What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
45,DBQ073D,.,Missing,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
46,DBQ073E,14,"Soy Milk, Or",What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
47,DBQ073E,.,Missing,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
48,DBQ073U,30,Another Type?,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
49,DBQ073U,.,Missing,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS - 6 YEARS,nan,,
50,DBD085,,,CHECK ITEM,Both males and females 0 YEARS - 150 YEARS,nan,,
51,DBQ700,1,Excellent,Next I have some questions about {your/SP?s} eating habits. In general how healthy is {your/his/her} overall diet? Would you say . . .,Both males and females 16 YEARS - 150 YEARS,nan,,
52,DBQ700,2,Very Good,Next I have some questions about {your/SP?s} eating habits. In general how healthy is {your/his/her} overall diet? Would you say . . .,Both males and females 16 YEARS - 150 YEARS,nan,,
53,DBQ700,3,Good,Next I have some questions about {your/SP?s} eating habits. In general how healthy is {your/his/her} overall diet? Would you say . . .,Both males and females 16 YEARS - 150 YEARS,nan,,
54,DBQ700,4,Fair,Next I have some questions about {your/SP?s} eating habits. In general how healthy is {your/his/her} overall diet? Would you say . . .,Both males and females 16 YEARS - 150 YEARS,nan,,
55,DBQ700,5,Poor,Next I have some questions about {your/SP?s} eating habits. In general how healthy is {your/his/her} overall diet? Would you say . . .,Both males and females 16 YEARS - 150 YEARS,nan,,
56,DBQ700,7,Refused,Next I have some questions about {your/SP?s} eating habits. In general how healthy is {your/his/her} overall diet? Would you say . . .,Both males and females 16 YEARS - 150 YEARS,nan,,
57,DBQ700,9,Don'T Know,Next I have some questions about {your/SP?s} eating habits. In general how healthy is {your/his/her} overall diet? Would you say . . .,Both males and females 16 YEARS - 150 YEARS,nan,,
58,DBQ700,.,Missing,Next I have some questions about {your/SP?s} eating habits. In general how healthy is {your/his/her} overall diet? Would you say . . .,Both males and females 16 YEARS - 150 YEARS,nan,,
59,DBQ197,0,Never,Now Im going to ask a few questions about milk products. Do not include their use in cooking. In the past 30 days how often did {you/SP} have milk to drink or on {your/his/her} cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea. Would you say...,Both males and females 1 YEARS - 150 YEARS,nan,,
60,DBQ197,1,Rarely-Less Than Once A Week,Now Im going to ask a few questions about milk products. Do not include their use in cooking. In the past 30 days how often did {you/SP} have milk to drink or on {your/his/her} cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea. Would you say...,Both males and females 1 YEARS - 150 YEARS,nan,,
61,DBQ197,2,"Sometimes-Once A Week Or More, But Less Than Once A Day, Or",Now Im going to ask a few questions about milk products. Do not include their use in cooking. In the past 30 days how often did {you/SP} have milk to drink or on {your/his/her} cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea. Would you say...,Both males and females 1 YEARS - 150 YEARS,nan,,
62,DBQ197,3,Often-Once A Day Or More?,Now Im going to ask a few questions about milk products. Do not include their use in cooking. In the past 30 days how often did {you/SP} have milk to drink or on {your/his/her} cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea. Would you say...,Both males and females 1 YEARS - 150 YEARS,nan,,
63,DBQ197,4,Varied,Now Im going to ask a few questions about milk products. Do not include their use in cooking. In the past 30 days how often did {you/SP} have milk to drink or on {your/his/her} cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea. Would you say...,Both males and females 1 YEARS - 150 YEARS,nan,,
64,DBQ197,7,Refused,Now Im going to ask a few questions about milk products. Do not include their use in cooking. In the past 30 days how often did {you/SP} have milk to drink or on {your/his/her} cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea. Would you say...,Both males and females 1 YEARS - 150 YEARS,nan,,
65,DBQ197,9,Don'T Know,Now Im going to ask a few questions about milk products. Do not include their use in cooking. In the past 30 days how often did {you/SP} have milk to drink or on {your/his/her} cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea. Would you say...,Both males and females 1 YEARS - 150 YEARS,nan,,
66,DBQ197,.,Missing,Now Im going to ask a few questions about milk products. Do not include their use in cooking. In the past 30 days how often did {you/SP} have milk to drink or on {your/his/her} cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea. Would you say...,Both males and females 1 YEARS - 150 YEARS,nan,,
67,DBQ223A,10,"Whole Or Regular,",What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
68,DBQ223A,77,Refused,What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
69,DBQ223A,99,Don'T Know,What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
70,DBQ223A,.,Missing,What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
71,DBQ223B,11,"2% Fat Or Reduced-Fat Milk,",What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
72,DBQ223B,.,Missing,What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
73,DBQ223C,12,"1% Fat Or Low-Fat Milk (Includes 0.5% Fat Milk Or Low-Fat Milk Not Further Specified),",What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
74,DBQ223C,.,Missing,What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
75,DBQ223D,13,"Skim, Nonfat, Or 0.5% Fat Milk (Includes Liquid Or Reconstituted From Dry),",What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
76,DBQ223D,.,Missing,What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
77,DBQ223E,14,"Soy Milk, Or",What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
78,DBQ223E,.,Missing,What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
79,DBQ223U,30,Another Type?,What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
80,DBQ223U,.,Missing,What type of milk was it? Was it usually . . .,Both males and females 1 YEARS - 150 YEARS,nan,,
81,DBD225,,,nan,Both males and females 1 YEARS - 150 YEARS,nan,,
82,DBQ229,1,"{I'Ve/He'S/She'S} Been A Regular Milk Drinker For Most Or All Of {My/His/Her} Life, Including {My/His/Her} Childhood",The next question is about regular milk use. A regular milk drinker is someone who uses any type of milk at least 5 times a week. Using this definition which statement best describes {you/SP}?...,Both males and females 20 YEARS - 150 YEARS,nan,,
83,DBQ229,2,"{I'Ve/He'S/She'S} Never Been A Regular Milk Drinker,",The next question is about regular milk use. A regular milk drinker is someone who uses any type of milk at least 5 times a week. Using this definition which statement best describes {you/SP}?...,Both males and females 20 YEARS - 150 YEARS,nan,,
84,DBQ229,3,{My/His/Her} Milk Drinking Has Varied Over {My/His/Her} Life-Sometimes {I'Ve/He'S/She'S} Been A Regular Milk Drinker,The next question is about regular milk use. A regular milk drinker is someone who uses any type of milk at least 5 times a week. Using this definition which statement best describes {you/SP}?...,Both males and females 20 YEARS - 150 YEARS,nan,,
85,DBQ229,7,Refused,The next question is about regular milk use. A regular milk drinker is someone who uses any type of milk at least 5 times a week. Using this definition which statement best describes {you/SP}?...,Both males and females 20 YEARS - 150 YEARS,nan,,
86,DBQ229,9,Don'T Know,The next question is about regular milk use. A regular milk drinker is someone who uses any type of milk at least 5 times a week. Using this definition which statement best describes {you/SP}?...,Both males and females 20 YEARS - 150 YEARS,nan,,
87,DBQ229,.,Missing,The next question is about regular milk use. A regular milk drinker is someone who uses any type of milk at least 5 times a week. Using this definition which statement best describes {you/SP}?...,Both males and females 20 YEARS - 150 YEARS,nan,,
88,DBQ235A,0,Never,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
89,DBQ235A,1,Rarely-Less Than Once A Week,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
90,DBQ235A,2,"Sometimes-Once A Week Or More, But Less Than Once A Day",Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
91,DBQ235A,3,Often-Once A Day Or More,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
92,DBQ235A,4,Varied,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
93,DBQ235A,7,Refused,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
94,DBQ235A,9,Don'T Know,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
95,DBQ235A,.,Missing,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
96,DBQ235B,0,Never,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
97,DBQ235B,1,Rarely-Less Than Once A Week,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
98,DBQ235B,2,"Sometimes-Once A Week Or More, But Less Than Once A Day",Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
99,DBQ235B,3,Often-Once A Day Or More,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
100,DBQ235B,4,Varied,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
101,DBQ235B,7,Refused,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
102,DBQ235B,9,Don'T Know,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
103,DBQ235B,.,Missing,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
104,DBQ235C,0,Never,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a young adult between the ages of 18 and 35 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
105,DBQ235C,1,Rarely-Less Than Once A Week,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a young adult between the ages of 18 and 35 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
106,DBQ235C,2,"Sometimes-Once A Week Or More, But Less Than Once A Day",Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a young adult between the ages of 18 and 35 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
107,DBQ235C,3,Often-Once A Day Or More,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a young adult between the ages of 18 and 35 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
108,DBQ235C,4,Varied,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a young adult between the ages of 18 and 35 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
109,DBQ235C,7,Refused,Now Im going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk including milk added to cereal when {you were/s/he was} a young adult between the ages of 18 and 35 years old? Would you say...,Both males and females 20 YEARS - 150 YEARS,nan,,
