,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,,,
1,BPQ020,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,,,
2,BPQ030,{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension also called high blood pressure?,Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,,,
3,BPD035,How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?,Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,,,
4,BPQ040A,Because of {your/SPs} (high blood pressure/hypertension) {have you/has s/he} ever been told to . . . take prescribed medicine?,Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,,,
5,BPQ050A,HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine,Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,,,
6,BPQ057,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} high normal blood pressure or borderline hypertension?,Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,,,
7,BPQ056,{Did you/Did SP} take {your/his/her} blood pressure at home during the last 12 months?,Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,,,
8,BPD058,How often {did you check your/did SP check his/her} blood pressure at home during the last 12 months?,Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,,,
9,BPQ059,Did a doctor or other health professional tell {you/SP} to take {your/his/her} blood pressure at home?,Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,,,
10,BPQ055,,Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,,,
11,BPQ060,{Have you/Has SP} ever had {your/his/her} blood cholesterol checked?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
12,BPQ070,About how long has it been since {you/SP} last had {your/his/her} blood cholesterol checked? Has it been...,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
13,BPQ080,{Have you/Has SP} ever been told by a doctor or other health professional that {your/his/her} blood cholesterol level was high?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
14,BPQ090A,To lower (your/his/her) blood cholesterol (have/has) (you/SP) ever been told by a doctor or other health professional... to eat fewer high fat or high cholesterol foods?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
15,BPQ090B,[To lower (your/his/her) blood cholesterol (have/has) (you/SP) ever been told by a doctor or other health professional]... to control (your/his/her) weight or lose weight?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
16,BPQ090C,[To lower (your/his/her) blood cholesterol (have/has) (you/SP) ever been told by a doctor or other health professional]... to increase (your/his/her) physical activity or exercise?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
17,BPQ090D,[To lower (your/his/her) blood cholesterol (have/has) (you/SP) ever been told by a doctor or other health professional]... to take prescribed medicine?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
18,BPQ095,,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
19,BPQ100A,(Are you/Is SP) now following this advice to eat fewer high fat or high cholesterol foods?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
20,BPQ100B,(Are you/Is SP) now following this advice to control (your/his/her) weight or lose weight?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
21,BPQ100C,(Are you/Is SP) now following this advice to increase (your/his/her) physical activity or exercise?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
22,BPQ100D,(Are you/Is SP) now following this advice to take prescribed medicine?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
