,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 0 YEARS - 150 YEARS,nan,,
1,WTDRD1,3173.136368 To 454277.71731,Range Of Values,Dietary day one sample weight,Both males and females 0 YEARS - 150 YEARS,nan,,
2,WTDRD1,0,Day 1 Dietary Recall Not Done/Incomplete,Dietary day one sample weight,Both males and females 0 YEARS - 150 YEARS,nan,,
3,WTDRD1,.,Missing,Dietary day one sample weight,Both males and females 0 YEARS - 150 YEARS,nan,,
4,WTDR2D,2553.901724 To 579148.95623,Range Of Values,Dietary two-day sample weight,Both males and females 0 YEARS - 150 YEARS,nan,,
5,WTDR2D,0,Day 2 Dietary Recall Not Done/Incomplete,Dietary two-day sample weight,Both males and females 0 YEARS - 150 YEARS,nan,,
6,WTDR2D,.,Missing,Dietary two-day sample weight,Both males and females 0 YEARS - 150 YEARS,nan,,
7,DR2DRSTZ,1,Reliable And Met The Minimum Criteria,Dietary recall status,Both males and females 0 YEARS - 150 YEARS,nan,,
8,DR2DRSTZ,2,Not Reliable Or Not Met The Minimum Criteria,Dietary recall status,Both males and females 0 YEARS - 150 YEARS,nan,,
9,DR2DRSTZ,4,Reported Consuming Breast-Milk,Dietary recall status,Both males and females 0 YEARS - 150 YEARS,nan,,
10,DR2DRSTZ,5,Not Done,Dietary recall status,Both males and females 0 YEARS - 150 YEARS,nan,,
11,DR2DRSTZ,.,Missing,Dietary recall status,Both males and females 0 YEARS - 150 YEARS,nan,,
12,DR2EXMER,32 To 91,Range Of Values,Interviewer ID code,Both males and females 0 YEARS - 150 YEARS,nan,,
13,DR2EXMER,.,Missing,Interviewer ID code,Both males and females 0 YEARS - 150 YEARS,nan,,
14,DRDINT,1,Day 1 Only,Indicates whether the sample person has intake data for one or two days.,Both males and females 0 YEARS - 150 YEARS,nan,,
15,DRDINT,2,Day 1 And Day 2,Indicates whether the sample person has intake data for one or two days.,Both males and females 0 YEARS - 150 YEARS,nan,,
16,DRDINT,.,Missing,Indicates whether the sample person has intake data for one or two days.,Both males and females 0 YEARS - 150 YEARS,nan,,
17,DR2DBIH,-24 To 141,Range Of Values,# of days b/w intake and HH interview,Both males and females 0 YEARS - 150 YEARS,nan,,
18,DR2DBIH,.,Missing,# of days b/w intake and HH interview,Both males and females 0 YEARS - 150 YEARS,nan,,
19,DR2DAY,1,Sunday,Intake day of the week,Both males and females 0 YEARS - 150 YEARS,nan,,
20,DR2DAY,2,Monday,Intake day of the week,Both males and females 0 YEARS - 150 YEARS,nan,,
21,DR2DAY,3,Tuesday,Intake day of the week,Both males and females 0 YEARS - 150 YEARS,nan,,
22,DR2DAY,4,Wednesday,Intake day of the week,Both males and females 0 YEARS - 150 YEARS,nan,,
23,DR2DAY,5,Thursday,Intake day of the week,Both males and females 0 YEARS - 150 YEARS,nan,,
24,DR2DAY,6,Friday,Intake day of the week,Both males and females 0 YEARS - 150 YEARS,nan,,
25,DR2DAY,7,Saturday,Intake day of the week,Both males and females 0 YEARS - 150 YEARS,nan,,
26,DR2DAY,.,Missing,Intake day of the week,Both males and females 0 YEARS - 150 YEARS,nan,,
27,DR2LANG,1,English,The respondent spoke mostly:,Both males and females 0 YEARS - 150 YEARS,nan,,
28,DR2LANG,2,Spanish,The respondent spoke mostly:,Both males and females 0 YEARS - 150 YEARS,nan,,
29,DR2LANG,3,English And Spanish,The respondent spoke mostly:,Both males and females 0 YEARS - 150 YEARS,nan,,
30,DR2LANG,4,Other,The respondent spoke mostly:,Both males and females 0 YEARS - 150 YEARS,nan,,
31,DR2LANG,5,Asian Languages,The respondent spoke mostly:,Both males and females 0 YEARS - 150 YEARS,nan,,
32,DR2LANG,6,Asian Languages And English,The respondent spoke mostly:,Both males and females 0 YEARS - 150 YEARS,nan,,
33,DR2LANG,.,Missing,The respondent spoke mostly:,Both males and females 0 YEARS - 150 YEARS,nan,,
34,DS2LOC,1,Household Interview,Location supplement originally recorded,Both males and females 0 YEARS - 150 YEARS,nan,,
35,DS2LOC,2,Mec Interview,Location supplement originally recorded,Both males and females 0 YEARS - 150 YEARS,nan,,
